contestant,sport,record,matchup,away_team,home_team,pick_type,pick_text,team,line,units_wagered
pgese,NHL,324-262-8,Detroit @ Vancouver,Detroit,Vancouver,Total (Under),Under 6.5,Under,6.5,+500
bostonutah,NHL,320-274-16,Tampa Bay @ Toronto,Tampa Bay,Toronto,Spread (ATS),TOR -110,TOR,-110,+500
bostonutah,NHL,320-274-16,Tampa Bay @ Toronto,Tampa Bay,Toronto,Total (Over),Over 6.0,Over,6.0,+500
bostonutah,NHL,320-274-16,Buffalo @ Calgary,Buffalo,Calgary,Spread (ATS),BUF +100,BUF,+100,+500
bostonutah,NHL,320-274-16,Buffalo @ Calgary,Buffalo,Calgary,Total (Under),Under 6.0,Under,6.0,+500
bostonutah,NHL,320-274-16,Los Angeles @ Utah,Los Angeles,Utah,Spread (ATS),LA -105,LA,-105,+500
bostonutah,NHL,320-274-16,Los Angeles @ Utah,Los Angeles,Utah,Total (Over),Over 5.5,Over,5.5,+500
bostonutah,NHL,320-274-16,Detroit @ Vancouver,Detroit,Vancouver,Spread (ATS),VAN +105,VAN,+105,+500
bostonutah,NHL,320-274-16,Detroit @ Vancouver,Detroit,Vancouver,Total (Under),Under 6.0,Under,6.0,+500
Flyers,NHL,224-229-3,Tampa Bay @ Toronto,Tampa Bay,Toronto,Spread (ATS),TOR -110,TOR,-110,+500
Flyers,NHL,224-229-3,Buffalo @ Calgary,Buffalo,Calgary,Spread (ATS),CAL -120,CAL,-120,+500
Flyers,NHL,224-229-3,Los Angeles @ Utah,Los Angeles,Utah,Spread (ATS),UTAH -110,UTAH,-110,+500
Flyers,NHL,224-229-3,Detroit @ Vancouver,Detroit,Vancouver,Spread (ATS),VAN +105,VAN,+105,+500
MartinK,NHL,185-197-1,Tampa Bay @ Toronto,Tampa Bay,Toronto,Spread (ATS),TB +100,TB,+100,+500
MartinK,NHL,185-197-1,Buffalo @ Calgary,Buffalo,Calgary,Spread (ATS),BUF +100,BUF,+100,+500
MartinK,NHL,185-197-1,Detroit @ Vancouver,Detroit,Vancouver,Spread (ATS),VAN +105,VAN,+105,+500
bear1313,NHL,221-174-11,Tampa Bay @ Toronto,Tampa Bay,Toronto,Spread (ATS),TB -110,TB,-110,+500
bear1313,NHL,221-174-11,Buffalo @ Calgary,Buffalo,Calgary,Spread (ATS),BUF +100,BUF,+100,+500
bear1313,NHL,221-174-11,Buffalo @ Calgary,Buffalo,Calgary,Total (Over),Over 6.0,Over,6.0,+500
